"","X","startposition","obstaclespresent","populationsize","Scenario","Starting.Position","Obstacles","Population.Size","Trial.Index","Scenario.Num","Trial","Max TET","Min TET","Avg TET lognorm","sd TET lognorm","Avg TET arithmetic","sd TET arithmetic","Max Active Time","Min Active Time","Avg Distance lognorm","sd Distance lognorm","Avg Distance arithmetic","sd Distance arithmetic","Exit1","Exit2","Exit3","Exit4","Exit5","TotalExit"
"1",6,1,1,-1,"S2","Concentrated","Present","Low",1,2,"Trial 1",584.05,9,5.268638183012,0.710742004015536,239.501163391934,137.807431449719,516.525,6.775,3.99103850358716,0.622990839780143,64.6948485005171,37.6321949719373,498,422,535,37,442,1934
"2",31,1,-1,1,"S3","Concentrated","Not-Present","High",2,3,"Trial 2",751.575,12.3,5.3844530106746,0.785075705205649,281.168703473945,177.737965903707,668.625,5.075,4.00720309341299,0.671845522538233,67.5983635235732,42.3712665678244,632,529,636,63,558,2418
"3",7,1,-1,1,"S3","Concentrated","Not-Present","High",3,3,"Trial 3",741.375,13,5.37758929243943,0.777977862986697,278.119964846981,174.541315987018,643.8,6.575,3.99759563631198,0.670651515152284,66.9279640198511,41.9311109694452,625,541,631,62,559,2418
"4",1,-1,-1,-1,"S1","Unconcentrated","Not-Present","Low",4,1,"Trial 4",631.475,8.225,5.36642618361683,0.735208136167657,265.560147362978,149.634700030782,485.9,0.95,3.94691936806623,0.719831196994466,64.1316416752844,38.3251562485501,473,431,485,60,485,1934
"5",4,-1,1,1,"S4","Unconcentrated","Present","High",5,4,"Trial 5",727.425,7.425,5.48383294167555,0.780822096850852,305.708312655087,179.286553535152,629.25,0.725,3.98234658291761,0.801348405215731,70.3171265508685,48.103581798732,570,575,621,98,554,2418
"6",11,1,-1,1,"S3","Concentrated","Not-Present","High",6,3,"Trial 6",818.025,13.025,5.40236466758632,0.799181018974881,289.011228287841,188.374813652074,675.725,6.275,4.02369983198044,0.674348667510289,68.7865049627792,42.9208377000302,675,501,629,52,561,2418
"7",33,-1,-1,-1,"S1","Unconcentrated","Not-Present","Low",7,1,"Trial 7",601.6,13.55,5.29700275376921,0.732554558788262,248.151693381593,141.944784384391,458,1,3.91580376372257,0.701272053130631,61.7149482936918,36.6301098659128,482,411,525,60,456,1934
"8",12,-1,1,1,"S4","Unconcentrated","Present","High",8,4,"Trial 8",783.025,3.475,5.4605753520202,0.797792855140202,302.872136062862,185.916305515447,662.3,0.575,3.98884361018707,0.803078817271602,70.3828957816377,47.4275852499403,645,558,582,83,550,2418
"9",29,-1,-1,-1,"S1","Unconcentrated","Not-Present","Low",9,1,"Trial 9",543.05,4.1,5.25114757466106,0.7072707295425,234.659501034126,133.002228438292,435.25,0.75,3.88019297136487,0.703341454868162,59.7930243019648,36.4546961226202,433,453,511,64,473,1934
"10",17,-1,-1,-1,"S1","Unconcentrated","Not-Present","Low",10,1,"Trial 10",618.625,8.525,5.34597112384638,0.725086429626397,259.004601861427,145.620495474706,495.475,1.075,3.9503937603956,0.722188820449646,64.4834126163392,38.6775573096284,486,450,490,72,436,1934
"11",14,1,1,-1,"S2","Concentrated","Present","Low",11,2,"Trial 11",574.25,12.75,5.25841910380351,0.694307159969205,235.400891933816,133.917941722833,480.3,8.2,3.98735726475486,0.639606876661943,65.0941354705274,38.9535720936595,488,446,523,29,448,1934
"12",30,1,1,-1,"S2","Concentrated","Present","Low",12,2,"Trial 12",593.575,17.8,5.26024229785054,0.699010704014357,236.942347466391,137.181993584939,475.525,6.775,3.97606559754706,0.614672536962761,63.3384374353671,35.777342807165,508,438,522,37,429,1934
"13",36,-1,1,1,"S4","Unconcentrated","Present","High",13,4,"Trial 13",832.85,5.8,5.45865919703129,0.801092922824221,304.072684036394,192.82933074543,767.7,0.75,3.99006157291517,0.812579704899052,70.9847324234905,47.830106606509,671,559,579,93,516,2418
