"","Time (s)","Trial 1","Trial 2","Trial 3","Trial 4","Trial 5","Trial 6","Trial 7","Trial 8","Trial 9","Trial 10","Trial 11","Trial 12","Trial 13","Trial 14","Trial 15","Trial 16","Trial 17","Trial 18","Trial 19","Trial 20","Trial 21","Trial 22","Trial 23","Trial 24","Trial 25","Trial 26","Trial 27","Trial 28","Trial 29","Trial 30","Trial 31","Trial 32","Trial 33","Trial 34","Trial 35","Trial 36","Trial 37","Trial 38","Trial 39","Trial 40"
"1",0,1934,2418,2418,1934,2418,2418,1934,2418,1934,1934,1934,1934,2418,1934,2418,2418,1934,1934,2418,1934,1934,1934,2418,1934,2418,2418,1934,2418,1934,1934,2418,1934,2418,2418,2418,2418,1934,1934,2418,2418
"2",1,1934,2418,2418,1934,2418,2418,1934,2418,1934,1934,1934,1934,2418,1934,2418,2418,1934,1934,2418,1934,1934,1934,2418,1934,2418,2418,1934,2418,1934,1934,2418,1934,2418,2418,2418,2418,1934,1934,2418,2418
"3",2,1934,2418,2418,1934,2418,2418,1934,2418,1934,1934,1934,1934,2418,1934,2418,2418,1934,1934,2418,1934,1934,1934,2418,1934,2418,2418,1934,2418,1934,1934,2418,1934,2418,2418,2418,2418,1934,1934,2418,2418
"4",3,1934,2418,2418,1934,2418,2418,1934,2418,1934,1934,1934,1934,2418,1934,2418,2418,1934,1934,2418,1934,1934,1934,2418,1934,2418,2418,1934,2418,1934,1934,2418,1934,2418,2418,2418,2418,1934,1934,2418,2418
"5",4,1934,2418,2418,1934,2418,2418,1934,2417,1934,1934,1934,1934,2418,1934,2418,2418,1934,1934,2418,1934,1934,1934,2418,1934,2418,2418,1934,2418,1934,1934,2418,1934,2418,2418,2418,2418,1934,1934,2418,2418
"6",5,1934,2418,2418,1934,2418,2418,1934,2417,1933,1934,1934,1934,2418,1933,2418,2418,1934,1934,2418,1934,1934,1934,2418,1934,2418,2418,1934,2418,1934,1934,2418,1934,2418,2418,2418,2418,1933,1934,2418,2418
"7",6,1934,2418,2418,1934,2418,2418,1934,2417,1933,1934,1934,1934,2417,1933,2418,2418,1934,1933,2418,1934,1934,1934,2418,1934,2418,2418,1934,2418,1934,1934,2418,1934,2418,2418,2417,2418,1933,1934,2416,2418
"8",7,1934,2418,2418,1934,2418,2418,1934,2417,1933,1934,1934,1934,2417,1933,2418,2418,1934,1933,2418,1934,1934,1934,2418,1934,2417,2418,1934,2418,1934,1934,2418,1934,2418,2418,2417,2418,1931,1934,2416,2418
"9",8,1934,2418,2418,1934,2417,2418,1934,2417,1933,1934,1934,1934,2417,1933,2418,2418,1934,1933,2418,1934,1934,1934,2418,1934,2417,2418,1934,2418,1934,1934,2417,1934,2418,2418,2416,2418,1931,1934,2415,2418
"10",9,1934,2418,2418,1933,2416,2418,1934,2417,1933,1933,1934,1934,2417,1933,2418,2418,1934,1931,2418,1934,1934,1934,2417,1934,2417,2418,1933,2417,1934,1933,2417,1934,2418,2418,2416,2417,1930,1932,2415,2418
